|l1filename                                        |l1filepath                                                                 |l1propint |qobject                                           |object                                            |qra                 |qdec                |date_obs                     |exptime     |obsmode    |obstype    |program         |piname                                            |datalvl   |seeing    |airmass         |moonagl   |ra                    |dec                   |
|char                                              |char                                                                       |int       |char                                              |char                                              |char                |char                |char                         |double      |char       |char       |char            |char                                              |int       |double    |double          |double    |double                |double                |
|                                                  |                                                                           |months    |                                                  |                                                  |sexagesimal         |sexagesimal         |                             |s           |           |           |                |                                                  |          |arcsec    |secZ            |deg       |deg                   |deg                   |
|null                                              |null                                                                       |null      |null                                              |null                                              |null                |null                |null                         |null        |null       |null       |null            |null                                              |null      |null      |null            |null      |null                  |null                  |
 neidL1_20210116T134512.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T134512.fits                           0          -999999                                            Etalon Cal-HRSci                                   -999999              -999999              2021-01-16 13:45:12.000       59.813075    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.3969    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T134646.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T134646.fits                           0          -999999                                            Etalon Cal-HRSci                                   -999999              -999999              2021-01-16 13:46:46.000       59.821967    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.4438    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T134820.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T134820.fits                           0          -999999                                            Etalon Cal-HRSci                                   -999999              -999999              2021-01-16 13:48:20.000       59.827258    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.4905    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T135003.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T135003.fits                           0          -999999                                            LFC Cal-HRSci                                      -999999              -999999              2021-01-16 13:50:03.000       59.775696    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.5416    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T135137.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T135137.fits                           0          -999999                                            LFC Cal-HRSci                                      -999999              -999999              2021-01-16 13:51:37.000       59.818026    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.5883    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T135311.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T135311.fits                           0          -999999                                            LFC Cal-HRSci                                      -999999              -999999              2021-01-16 13:53:11.000       59.762776    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.6349    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T135457.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T135457.fits                           0          -999999                                            ThArS Cal-HRSci                                    -999999              -999999              2021-01-16 13:54:57.000       479.825882   hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.6872    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T140345.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140345.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:03:45.000       5.741060     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.9468    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T140424.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140424.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:04:24.000       5.810128     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.9660    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T140504.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140504.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:05:04.000       5.763408     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.9854    -9.99000000000000e+01  -9.99000000000000e+01  
